t_s,q1_deg,q2_deg,q3_deg,q1d_dps,q2d_dps,q3d_dps,q1dd_dps2,q2dd_dps2,q3dd_dps2,ee_x_mm,ee_y_mm,ee_z_mm
1.6500,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.6600,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.6700,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.6800,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.6900,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,125.2300,19.8700,197.2300
1.7000,9.0159,112.6111,-114.8814,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,125.2300,19.8700,197.2300
1.7100,9.0159,112.6111,-114.8814,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.0000,125.2300,19.8700,197.2300
1.7200,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,125.2300,19.8700,197.2300
1.7300,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.7400,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.7500,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.7600,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.7700,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.7800,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.7900,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.8000,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.8100,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.8200,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,125.2300,19.8700,197.2300
1.8300,9.0159,112.6111,-114.8814,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,125.2300,19.8700,197.2300
1.8400,9.0159,112.6111,-114.8814,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.0000,125.2300,19.8700,197.2300
1.8500,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,125.2300,19.8700,197.2300
1.8600,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.8700,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.8800,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.8900,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.9000,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.9100,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.9200,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.9300,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
1.9400,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,125.2300,19.8700,197.2300
1.9500,9.0159,112.6111,-114.8814,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,125.2300,19.8700,197.2300
1.9600,9.0159,112.6111,-114.8814,-0.0000,-0.0000,0.0000,-0.0000,-0.0000,0.0000,125.2300,19.8700,197.2300
1.9700,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,125.2300,19.8700,197.2300
1.9800,9.0159,112.6111,-114.8814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,125.2300,19.8700,197.2300
