q1_deg,q2_deg,q3_deg
97.5281,71.8539,-147.5452
96.9025,71.8361,-147.4809
96.2315,71.8170,-147.4119
95.5153,71.7967,-147.3382
94.7540,71.7751,-147.2599
93.9481,71.7522,-147.1770
93.0980,71.7281,-147.0895
92.2045,71.7027,-146.9976
91.2682,71.6761,-146.9013
90.2901,71.6483,-146.8007
89.2713,71.6194,-146.6959
88.2130,71.5894,-146.5870
87.1164,71.5582,-146.4742
85.9828,71.5260,-146.3576
84.8139,71.4928,-146.2373
83.6111,71.4587,-146.1136
82.3762,71.4236,-145.9866
81.1110,71.3877,-145.8564
79.8171,71.3510,-145.7233
78.4967,71.3135,-145.5875
77.1516,71.2753,-145.4491
75.7838,71.2364,-145.3084
74.3956,71.1970,-145.1656
72.9890,71.1571,-145.0209
71.5663,71.1167,-144.8745
70.1296,71.0759,-144.7267
68.6813,71.0347,-144.5777
67.2236,70.9934,-144.4278
65.7588,70.9518,-144.2771
64.2894,70.9100,-144.1259
62.8176,70.8682,-143.9745
61.3458,70.8265,-143.8231
59.8764,70.7847,-143.6720
58.4117,70.7431,-143.5213
56.9540,70.7017,-143.3713
55.5056,70.6606,-143.2223
54.0690,70.6198,-143.0746
52.6462,70.5794,-142.9282
51.2396,70.5395,-142.7835
49.8514,70.5001,-142.6407
48.4837,70.4612,-142.5000
47.1386,70.4230,-142.3616
45.8181,70.3855,-142.2258
44.5243,70.3488,-142.0927
43.2590,70.3129,-141.9625
42.0241,70.2778,-141.8355
40.8213,70.2437,-141.7118
39.6524,70.2105,-141.5915
38.5189,70.1783,-141.4749
